2025-12-18 16:02:07,132 | INFO     | __main__                  | ================================================================================
2025-12-18 16:02:07,132 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 16:02:07,132 | INFO     | __main__                  | ================================================================================
2025-12-18 16:02:07,133 | INFO     | __main__                  | Account: DU0282477
2025-12-18 16:02:07,133 | INFO     | __main__                  | Port: 4002
2025-12-18 16:02:07,133 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 16:02:07,133 | INFO     | __main__                  | ================================================================================
2025-12-18 16:02:07,133 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 16:02:07,133 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 16:02:07,135 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 16:02:07,135 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 16:02:07,135 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 16:02:07,135 | WARNING  | slob.live.live_trading_engine | IB API not available.
2025-12-18 16:02:07,135 | INFO     | __main__                  | ✅ Connected successfully!
2025-12-18 16:02:07,135 | INFO     | __main__                  | Starting paper trading for 24.0 hours...
2025-12-18 16:02:07,135 | INFO     | __main__                  | Monitoring for 5/1 SLOB setups...
2025-12-18 16:02:07,135 | INFO     | __main__                  | Press Ctrl+C to stop
2025-12-18 16:02:07,135 | INFO     | slob.live.live_trading_engine | 🟢 Engine loop started. Waiting for market data...
2025-12-18 16:02:50,489 | INFO     | __main__                  | Shutting down...
2025-12-18 16:02:50,490 | INFO     | slob.live.live_trading_engine | 🛑 Shutting down Engine...
2025-12-18 16:02:50,491 | INFO     | __main__                  | Paper trading session complete.
