2025-12-18 14:31:43,850 | INFO     | __main__                  | ================================================================================
2025-12-18 14:31:43,850 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 14:31:43,850 | INFO     | __main__                  | ================================================================================
2025-12-18 14:31:43,850 | INFO     | __main__                  | Account: DU0282477
2025-12-18 14:31:43,851 | INFO     | __main__                  | Port: 4002
2025-12-18 14:31:43,851 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 14:31:43,851 | INFO     | __main__                  | ================================================================================
2025-12-18 14:31:43,851 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 14:31:43,851 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 14:31:43,865 | INFO     | slob.live.candle_store    | Database schema initialized
2025-12-18 14:31:43,865 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 14:31:43,865 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 14:31:43,866 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 14:31:43,866 | INFO     | slob.live.ib_ws_fetcher   | Connecting to IB at 127.0.0.1:4002
2025-12-18 14:31:43,866 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 2...
2025-12-18 14:31:43,867 | INFO     | ib_insync.client          | Connected
2025-12-18 14:31:43,930 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 14:31:43,945 | INFO     | ib_insync.client          | API connection ready
2025-12-18 14:31:43,953 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 14:31:43,955 | INFO     | ib_insync.wrapper         | Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-12-18 14:31:43,955 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 14:31:44,450 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 14:31:44,451 | INFO     | slob.live.ib_ws_fetcher   | ✅ Successfully connected to IB (clientId=2)
2025-12-18 14:31:44,982 | INFO     | slob.live.ib_ws_fetcher   | Resolved NQ to NQZ5 (expiry: 20251219, conId: 563947738) [Found 10 contracts]
2025-12-18 14:31:44,982 | INFO     | slob.live.ib_ws_fetcher   | ✅ Subscribed to: NQ (conId=563947738)
2025-12-18 14:31:44,982 | INFO     | slob.live.order_executor  | Initializing OrderExecutor...
2025-12-18 14:31:44,983 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 1...
2025-12-18 14:31:44,985 | INFO     | ib_insync.client          | Connected
