2025-12-18 15:59:36,771 | INFO     | __main__                  | ================================================================================
2025-12-18 15:59:36,771 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 15:59:36,771 | INFO     | __main__                  | ================================================================================
2025-12-18 15:59:36,771 | INFO     | __main__                  | Account: DU0282477
2025-12-18 15:59:36,771 | INFO     | __main__                  | Port: 4002
2025-12-18 15:59:36,771 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 15:59:36,772 | INFO     | __main__                  | ================================================================================
2025-12-18 15:59:36,772 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 15:59:36,772 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 15:59:36,774 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 15:59:36,774 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 15:59:36,774 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 15:59:36,774 | WARNING  | slob.live.live_trading_engine | IB API not available.
2025-12-18 15:59:36,774 | INFO     | __main__                  | ✅ Connected successfully!
2025-12-18 15:59:36,774 | INFO     | __main__                  | Starting paper trading for 24.0 hours...
2025-12-18 15:59:36,774 | INFO     | __main__                  | Monitoring for 5/1 SLOB setups...
2025-12-18 15:59:36,774 | INFO     | __main__                  | Press Ctrl+C to stop
2025-12-18 15:59:36,775 | INFO     | slob.live.live_trading_engine | 🟢 Engine loop started. Waiting for market data...
2025-12-18 16:01:59,313 | INFO     | __main__                  | Shutting down...
2025-12-18 16:01:59,318 | INFO     | slob.live.live_trading_engine | 🛑 Shutting down Engine...
2025-12-18 16:01:59,319 | INFO     | __main__                  | Paper trading session complete.
