2025-12-18 15:09:03,243 | INFO     | __main__                  | ================================================================================
2025-12-18 15:09:03,243 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 15:09:03,243 | INFO     | __main__                  | ================================================================================
2025-12-18 15:09:03,243 | INFO     | __main__                  | Account: DU0282477
2025-12-18 15:09:03,243 | INFO     | __main__                  | Port: 4002
2025-12-18 15:09:03,243 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 15:09:03,244 | INFO     | __main__                  | ================================================================================
2025-12-18 15:09:03,244 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 15:09:03,244 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 15:09:03,246 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 15:09:03,246 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 15:09:03,246 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 15:09:03,246 | INFO     | slob.live.ib_ws_fetcher   | Connecting to IB at 127.0.0.1:4002
2025-12-18 15:09:03,247 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 2...
2025-12-18 15:09:03,248 | INFO     | ib_insync.client          | Connected
2025-12-18 15:09:03,260 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 15:09:03,275 | INFO     | ib_insync.client          | API connection ready
2025-12-18 15:09:03,276 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2025-12-18 15:09:03,277 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 15:09:03,277 | INFO     | ib_insync.wrapper         | Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2025-12-18 15:09:03,277 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 15:09:03,826 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 15:09:03,827 | INFO     | slob.live.ib_ws_fetcher   | ✅ Successfully connected to IB (clientId=2)
2025-12-18 15:09:04,161 | INFO     | slob.live.ib_ws_fetcher   | Resolved NQ to NQZ5 (expiry: 20251219, conId: 563947738) [Found 10 contracts]
2025-12-18 15:09:04,162 | INFO     | slob.live.ib_ws_fetcher   | ✅ Subscribed to: NQ (conId=563947738)
2025-12-18 15:09:04,163 | INFO     | slob.live.order_executor  | Initializing OrderExecutor...
2025-12-18 15:09:04,164 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 1...
2025-12-18 15:09:04,166 | INFO     | ib_insync.client          | Connected
2025-12-18 15:09:04,185 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 15:09:04,274 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2025-12-18 15:09:04,274 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 15:09:04,274 | INFO     | ib_insync.wrapper         | Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2025-12-18 15:09:04,274 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 15:09:04,275 | INFO     | ib_insync.client          | API connection ready
2025-12-18 15:09:04,405 | INFO     | ib_insync.wrapper         | Warning 10167, reqId 5: Requested market data is not subscribed. Displaying delayed market data., contract: Contract(secType='FUT', conId=563947738, symbol='NQ', lastTradeDateOrContractMonth='20251219', multiplier='20', exchange='CME', currency='USD', localSymbol='NQZ5', tradingClass='NQ')
2025-12-18 15:09:04,405 | ERROR    | slob.live.ib_ws_fetcher   | IB error [10167]: Requested market data is not subscribed. Displaying delayed market data. (reqId=5)
2025-12-18 15:09:04,678 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 15:09:04,678 | INFO     | slob.live.order_executor  | ✅ Connected to IB: 127.0.0.1:4002
2025-12-18 15:09:04,853 | INFO     | slob.live.order_executor  | ✅ NQ contract resolved: NQZ5
2025-12-18 15:09:04,853 | INFO     | slob.live.order_executor  | ✅ OrderExecutor initialized
2025-12-18 15:09:04,853 | INFO     | __main__                  | ✅ Connected successfully!
2025-12-18 15:09:04,854 | INFO     | __main__                  | Starting paper trading for 24.0 hours...
2025-12-18 15:09:04,854 | INFO     | __main__                  | Monitoring for 5/1 SLOB setups...
2025-12-18 15:09:04,854 | INFO     | __main__                  | Press Ctrl+C to stop
2025-12-18 15:09:04,854 | INFO     | slob.live.live_trading_engine | 🟢 Engine loop started. Waiting for market data...
2025-12-18 15:11:01,956 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:09:00 -> 2025-12-18 15:11:00). Filling with flat candles.
2025-12-18 15:12:02,976 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:10:00 -> 2025-12-18 15:12:00). Filling with flat candles.
2025-12-18 15:13:02,926 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:11:00 -> 2025-12-18 15:13:00). Filling with flat candles.
