2025-12-18 14:34:03,668 | INFO     | __main__                  | ================================================================================
2025-12-18 14:34:03,668 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 14:34:03,668 | INFO     | __main__                  | ================================================================================
2025-12-18 14:34:03,668 | INFO     | __main__                  | Account: DU0282477
2025-12-18 14:34:03,668 | INFO     | __main__                  | Port: 4002
2025-12-18 14:34:03,669 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 14:34:03,669 | INFO     | __main__                  | ================================================================================
2025-12-18 14:34:03,669 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 14:34:03,669 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 14:34:03,682 | INFO     | slob.live.candle_store    | Database schema initialized
2025-12-18 14:34:03,682 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 14:34:03,683 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 14:34:03,683 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 14:34:03,683 | INFO     | slob.live.ib_ws_fetcher   | Connecting to IB at 127.0.0.1:4002
2025-12-18 14:34:03,684 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 2...
2025-12-18 14:34:03,684 | INFO     | ib_insync.client          | Connected
2025-12-18 14:34:03,746 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 14:34:03,774 | INFO     | ib_insync.client          | API connection ready
2025-12-18 14:34:03,775 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 14:34:03,775 | INFO     | ib_insync.wrapper         | Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-12-18 14:34:03,776 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 14:34:04,191 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 14:34:04,191 | INFO     | slob.live.ib_ws_fetcher   | ✅ Successfully connected to IB (clientId=2)
2025-12-18 14:34:04,844 | INFO     | slob.live.ib_ws_fetcher   | Resolved NQ to NQZ5 (expiry: 20251219, conId: 563947738) [Found 10 contracts]
2025-12-18 14:34:04,844 | INFO     | slob.live.ib_ws_fetcher   | ✅ Subscribed to: NQ (conId=563947738)
2025-12-18 14:34:04,845 | INFO     | slob.live.order_executor  | Initializing OrderExecutor...
2025-12-18 14:34:04,845 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 1...
2025-12-18 14:34:04,846 | INFO     | ib_insync.client          | Connected
2025-12-18 14:34:04,852 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 14:34:04,855 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 14:34:04,856 | INFO     | ib_insync.wrapper         | Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-12-18 14:34:04,856 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 14:34:04,857 | INFO     | ib_insync.client          | API connection ready
2025-12-18 14:34:05,094 | INFO     | ib_insync.wrapper         | Warning 2119, reqId -1: Market data farm is connecting:usfuture
2025-12-18 14:34:05,094 | ERROR    | slob.live.ib_ws_fetcher   | IB error [2119]: Market data farm is connecting:usfuture (reqId=-1)
2025-12-18 14:34:05,095 | INFO     | ib_insync.wrapper         | Warning 2119, reqId -1: Market data farm is connecting:usfuture
2025-12-18 14:34:05,160 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 14:34:05,160 | INFO     | slob.live.order_executor  | ✅ Connected to IB: 127.0.0.1:4002
2025-12-18 14:34:05,316 | INFO     | slob.live.order_executor  | ✅ NQ contract resolved: NQZ5
