2025-12-18 16:06:37,125 | INFO     | __main__                  | ================================================================================
2025-12-18 16:06:37,125 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 16:06:37,126 | INFO     | __main__                  | ================================================================================
2025-12-18 16:06:37,126 | INFO     | __main__                  | Account: DU0282477
2025-12-18 16:06:37,126 | INFO     | __main__                  | Port: 4002
2025-12-18 16:06:37,126 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 16:06:37,126 | INFO     | __main__                  | ================================================================================
2025-12-18 16:06:37,126 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 16:06:37,126 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 16:06:37,128 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 16:06:37,128 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 16:06:37,128 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 16:06:37,129 | INFO     | slob.live.ib_ws_fetcher   | Connecting to IB at 127.0.0.1:4002
2025-12-18 16:06:37,129 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 2...
2025-12-18 16:06:37,130 | INFO     | ib_insync.client          | Connected
2025-12-18 16:06:37,140 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 16:06:37,143 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2025-12-18 16:06:37,144 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 16:06:37,144 | INFO     | ib_insync.wrapper         | Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2025-12-18 16:06:37,144 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 16:06:37,145 | INFO     | ib_insync.client          | API connection ready
2025-12-18 16:06:37,320 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 16:06:37,324 | INFO     | slob.live.ib_ws_fetcher   | ✅ Requested Market Data Type 3 (Delayed/Frozen)
2025-12-18 16:06:37,325 | INFO     | slob.live.ib_ws_fetcher   | ✅ Successfully connected to IB (clientId=2)
2025-12-18 16:06:37,607 | INFO     | slob.live.ib_ws_fetcher   | Resolved NQ to NQZ5
2025-12-18 16:06:37,608 | INFO     | slob.live.ib_ws_fetcher   | ✅ Subscribed to: NQ
2025-12-18 16:06:37,609 | INFO     | slob.live.order_executor  | Initializing OrderExecutor...
2025-12-18 16:06:37,610 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 1...
2025-12-18 16:06:37,611 | INFO     | ib_insync.client          | Connected
2025-12-18 16:06:37,616 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 16:06:37,618 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2025-12-18 16:06:37,618 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 16:06:37,618 | INFO     | ib_insync.wrapper         | Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2025-12-18 16:06:37,619 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 16:06:37,619 | INFO     | ib_insync.client          | API connection ready
2025-12-18 16:06:37,820 | INFO     | ib_insync.wrapper         | Warning 10167, reqId 5: Requested market data is not subscribed. Displaying delayed market data., contract: Contract(secType='FUT', conId=563947738, symbol='NQ', lastTradeDateOrContractMonth='20251219', multiplier='20', exchange='CME', currency='USD', localSymbol='NQZ5', tradingClass='NQ')
2025-12-18 16:06:37,933 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 16:06:37,933 | INFO     | slob.live.order_executor  | ✅ Connected to IB: 127.0.0.1:4002
2025-12-18 16:06:38,098 | INFO     | slob.live.order_executor  | ✅ NQ contract resolved: NQZ5
2025-12-18 16:06:38,098 | INFO     | slob.live.order_executor  | ✅ OrderExecutor initialized
2025-12-18 16:06:38,098 | INFO     | __main__                  | ✅ Connected successfully!
2025-12-18 16:06:38,098 | INFO     | __main__                  | Starting paper trading for 24.0 hours...
2025-12-18 16:06:38,098 | INFO     | __main__                  | Monitoring for 5/1 SLOB setups...
2025-12-18 16:06:38,099 | INFO     | __main__                  | Press Ctrl+C to stop
2025-12-18 16:06:38,099 | INFO     | slob.live.live_trading_engine | 🟢 Engine loop started. Waiting for market data...
2025-12-18 16:07:38,102 | INFO     | slob.live.live_trading_engine | 💓 Engine heartbeat - Running...
2025-12-18 16:08:04,222 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:06:00+00:00 -> 2025-12-18 15:08:00+00:00). Filling with flat candles.
2025-12-18 16:08:38,107 | INFO     | slob.live.live_trading_engine | 💓 Engine heartbeat - Running...
2025-12-18 16:09:04,107 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:07:00+00:00 -> 2025-12-18 15:09:00+00:00). Filling with flat candles.
2025-12-18 16:09:38,111 | INFO     | slob.live.live_trading_engine | 💓 Engine heartbeat - Running...
2025-12-18 16:10:04,162 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:08:00+00:00 -> 2025-12-18 15:10:00+00:00). Filling with flat candles.
2025-12-18 16:10:38,115 | INFO     | slob.live.live_trading_engine | 💓 Engine heartbeat - Running...
2025-12-18 16:11:04,319 | WARNING  | slob.live.candle_aggregator | Gap detected for NQ: 1 minutes (2025-12-18 15:09:00+00:00 -> 2025-12-18 15:11:00+00:00). Filling with flat candles.
2025-12-18 16:11:38,219 | INFO     | slob.live.live_trading_engine | 💓 Engine heartbeat - Running...
