2025-12-18 15:56:16,407 | INFO     | __main__                  | ================================================================================
2025-12-18 15:56:16,407 | INFO     | __main__                  | PHASE 1 PAPER TRADING VALIDATION
2025-12-18 15:56:16,407 | INFO     | __main__                  | ================================================================================
2025-12-18 15:56:16,407 | INFO     | __main__                  | Account: DU0282477
2025-12-18 15:56:16,407 | INFO     | __main__                  | Port: 4002
2025-12-18 15:56:16,408 | INFO     | __main__                  | Duration: 24.0 hours
2025-12-18 15:56:16,408 | INFO     | __main__                  | ================================================================================
2025-12-18 15:56:16,408 | INFO     | __main__                  | Using TWS paper trading (port 7497)
2025-12-18 15:56:16,408 | INFO     | __main__                  | Initializing Live Trading Engine...
2025-12-18 15:56:16,410 | INFO     | slob.live.candle_store    | ✅ CandleStore initialized at data/candles.db
2025-12-18 15:56:16,410 | INFO     | __main__                  | Connecting to Interactive Brokers...
2025-12-18 15:56:16,410 | INFO     | slob.live.live_trading_engine | 🚀 Initializing Engine for NQ on port 4002
2025-12-18 15:56:16,410 | ERROR    | slob.live.ib_ws_fetcher   | ib_insync not installed.
2025-12-18 15:56:16,410 | WARNING  | slob.live.ib_ws_fetcher   | Cannot subscribe: Not connected.
2025-12-18 15:56:16,411 | INFO     | slob.live.order_executor  | Initializing OrderExecutor...
2025-12-18 15:56:16,412 | INFO     | ib_insync.client          | Connecting to 127.0.0.1:4002 with clientId 1...
2025-12-18 15:56:16,413 | INFO     | ib_insync.client          | Connected
2025-12-18 15:56:16,432 | INFO     | ib_insync.client          | Logged on to server version 176
2025-12-18 15:56:16,449 | INFO     | ib_insync.client          | API connection ready
2025-12-18 15:56:16,450 | INFO     | ib_insync.wrapper         | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-12-18 15:56:16,451 | INFO     | ib_insync.wrapper         | Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2025-12-18 15:56:16,451 | INFO     | ib_insync.wrapper         | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefnj
2025-12-18 15:56:16,772 | INFO     | ib_insync.ib              | Synchronization complete
2025-12-18 15:56:16,773 | INFO     | slob.live.order_executor  | ✅ Connected to IB: 127.0.0.1:4002
2025-12-18 15:56:16,996 | INFO     | slob.live.order_executor  | ✅ NQ contract resolved: NQZ5
2025-12-18 15:56:16,996 | INFO     | slob.live.order_executor  | ✅ OrderExecutor initialized
2025-12-18 15:56:16,997 | INFO     | __main__                  | ✅ Connected successfully!
2025-12-18 15:56:16,997 | INFO     | __main__                  | Starting paper trading for 24.0 hours...
2025-12-18 15:56:16,997 | INFO     | __main__                  | Monitoring for 5/1 SLOB setups...
2025-12-18 15:56:16,997 | INFO     | __main__                  | Press Ctrl+C to stop
2025-12-18 15:56:16,997 | INFO     | slob.live.live_trading_engine | 🟢 Engine loop started. Waiting for market data...
2025-12-18 15:57:31,779 | INFO     | __main__                  | Shutting down...
2025-12-18 15:57:31,783 | INFO     | slob.live.live_trading_engine | 🛑 Shutting down Engine...
2025-12-18 15:57:31,785 | INFO     | ib_insync.ib              | Disconnecting from 127.0.0.1:4002, 225 B sent in 10 messages, 20.2 kB received in 269 messages, session time 75.4 s.
2025-12-18 15:57:31,785 | INFO     | ib_insync.client          | Disconnecting
2025-12-18 15:57:31,787 | INFO     | __main__                  | Paper trading session complete.
2025-12-18 15:57:31,787 | INFO     | ib_insync.client          | Disconnected.
